ID,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280_OD315,Proline
1,3.56,0.17,1.7,5.43,0.88,3.56,1095
2,3.29,0.34,2.34,6.13,0.95,3.38,795
3,2.69,0.39,1.82,4.32,1.04,2.93,735
4,3.64,0.29,2.96,7.5,1.2,3,1547
5,2.92,0.32,2.38,6.2,,2.75,1060
6,2.41,,1.98,4.5,1.03,3.52,770
7,2.65,0.3,1.25,5.24,0.87,3.33,1080
8,3,0.28,2.03,5.04,0.88,3.35,885
9,,1.73,,,,,
10,2.43,0.29,1.44,4.25,1.12,2.51,1105
11,3,0.26,2.03,6.38,0.94,3.31,970
12,2.9,0.21,1.62,5.85,0.92,3.2,1060
13,2.74,0.5,1.35,5.4,1.25,3,1235
14,3.17,0.27,2.19,4.9,1.04,3.44,1065
15,3.54,0.32,2.08,8.9,1.12,3.1,1260
16,3.03,0.17,1.66,5.1,0.96,3.36,845
17,2.63,0.32,1.66,4.36,0.82,3,680
18,3.04,1.98,3.92,12.86,1.61,4.54,817
19,2.76,0.26,1.28,4.38,1.05,3.4,1050
20,3.15,0.22,1.85,7.22,1.01,3.55,1045
21,3.17,0.24,2.1,5.65,1.09,3.71,780
22,3.14,0.33,1.97,6.2,1.07,2.65,1280
23,2.68,0.27,1.48,4.28,0.91,3,1035
24,2.43,0.26,1.57,5,1.17,2.82,1280
25,,,,,,4.38,1574
26,2.99,0.22,2.29,5.6,1.24,3.37,1265
27,2.39,,1.16,,1.35,,
28,2.88,0.27,1.69,3.8,1.11,4,1035
29,2.78,0.2,2.45,6.25,0.98,3.03,1120
30,2.68,0.47,1.92,3.58,1.13,3.2,830
31,2.79,0.39,1.68,6.3,1.13,2.93,1375
32,2.98,0.26,1.86,5.1,1.04,3.47,920
33,2.33,0.26,1.98,4.7,1.04,3.59,1035
34,,1.34,,,1.51,,
35,3.25,0.29,2.38,5.7,1.19,2.71,1285
36,2.63,1.3,1.03,4.58,9999,2.01,359
37,3.4,0.4,1.72,6.6,1.13,2.57,1130
38,3.15,0.22,1.85,7.22,1.01,3.55,1045
39,3.93,0.32,1.86,8.7,1.23,2.82,1680
40,2.69,0.42,1.97,3.84,1.23,2.87,990
41,3.49,0.24,2.18,7.8,0.86,3.45,1480
42,3.32,0.22,2.38,5.75,1.25,3.17,1510
43,3.67,0.19,2.04,6.8,0.89,2.87,1285
44,3.06,0.28,2.29,5.64,1.04,3.92,1065
45,3.39,0.34,1.97,6.75,1.05,2.85,1450
46,3.27,0.17,2.91,7.2,1.12,2.91,1150
47,2.53,0.29,1.54,4.2,1.1,2.87,1095
48,,1.83,,2.26,,,
49,2.68,0.34,1.36,4.6,1.09,2.78,880
50,3.19,0.22,1.95,6.9,1.09,2.88,1515
51,2.37,0.26,1.46,3.93,1.09,3.63,1015
52,2.61,0.28,1.66,3.52,1.12,3.82,845
53,2.91,0.3,1.46,7.3,1.28,2.88,1310
54,2.51,0.31,1.25,5.05,1.06,3.58,1295
55,3.04,0.2,2.08,5.1,0.89,3.53,760
56,2.98,0.29,1.98,5.2,1.08,2.85,1045
57,2.19,0.27,1.35,3.95,1.02,2.77,1285
58,2.64,0.28,1.37,3.7,1.18,2.69,1020
59,2.97,0.37,1.76,4.5,1.25,3.4,915
60,3.24,0.3,2.81,5.68,1.03,3.17,1185
61,,,,,,,
62,3.39,0.21,2.14,6.1,0.91,3.33,985
63,2.94,0.34,1.45,4.8,0.92,3.22,1195
64,3.69,0.43,2.81,5.4,1.25,2.73,1150
65,3.74,0.32,1.87,7.05,1.01,3.26,1190
66,,,,,1.25,2.61,1551
67,3.23,0.31,1.66,6,1.07,2.84,1270
68,2.52,0.3,1.98,,1.02,3.58,1290
69,1.69,0.48,1.35,2.8,1,2.75,680
70,1.6,0.3,1.53,1.95,0.95,3.33,495
71,1.02,0.37,1.46,3.05,0.906,1.82,870
72,2.92,0.29,2.49,2.65,0.96,3.26,680
73,1.61,0.4,1.34,2.6,1.36,3.21,562
74,2.99,0.45,2.81,2.3,1.42,,406
75,1.76,0.48,1.63,3.3,0.88,2.42,488
76,1.85,0.35,2.76,3.4,1.06,2.31,750
77,2.65,0.3,2.01,2.6,0.73,3.1,380
78,1.84,0.66,1.42,2.7,0.86,3.3,315
79,1.46,0.58,1.62,3.05,0.96,2.06,495
80,1.64,0.37,1.42,2.06,0.94,2.44,415
81,2.65,0.37,1.35,2.76,0.86,3.28,378
82,3.75,0.24,1.95,4.5,1.04,2.77,660
83,2.26,0.3,1.43,2.5,1.38,3.12,278
84,1.25,0.5,1.63,3.6,1.05,2.65,450
85,1.64,0.37,1.87,1.28,0.93,3.05,564
86,2.17,0.26,1.4,3.3,1.27,2.96,710
87,3.1,0.19,1.87,4.45,1.22,2.87,420
88,2.03,0.6,1.05,3.8,1.23,2.5,607
89,2.86,0.21,1.87,3.38,1.36,3.16,410
90,1.59,0.42,1.38,1.74,1.07,3.21,625
91,1.57,0.34,1.15,3.8,1.23,2.14,428
92,1.84,,1.03,3.74,0.98,2.78,472
93,0.57,0.28,0.42,1.95,1.05,1.82,520
94,1.79,0.32,0.73,3.8,1.23,2.46,630
95,1.59,0.61,1.62,4.8,0.84,2.01,515
96,3.41,,,,1.33,,
97,2.5,0.29,1.77,2.9,1.23,2.74,428
98,1.92,0.32,1.48,2.94,1.04,3.57,672
99,2.79,0.32,1.83,3.25,0.8,3.39,625
100,2,0.27,1.04,4.68,1.12,3.48,510
101,2.11,0.34,1.31,2.8,0.8,3.38,438
102,,,3.39,,,,
103,,1.15,2.52,,1.01,3.7,
104,1.58,0.4,1.4,2.2,1.31,2.72,630
105,2.58,0.24,3.58,2.9,0.75,2.81,562
106,2.14,0.13,1.65,3.21,0.99,3.13,886
107,2.45,0.4,1.9,2.12,0.89,2.78,342
108,3.03,0.21,2.91,2.8,0.75,3.64,380
109,1.25,0.43,0.83,3.4,0.7,2.12,372
110,1.09,0.63,0.41,3.27,1.25,1.67,680
111,,,,,1.05,,744
112,5.19,,3.8,,1.77,,
113,1.69,0.43,1.56,2.45,1.33,2.26,495
114,3.15,0.39,1.77,3.94,0.69,2.84,352
115,2.17,0.52,2.01,,1.71,2.87,407
116,,1.53,,,1.77,,1672
117,3.18,0.26,2.28,5.3,1.12,3.18,502
118,2.89,0.21,1.96,3.35,1.31,3.5,985
119,1.94,0.3,1.46,2.62,1.23,3.16,450
120,2.29,0.43,1.04,2.9,0.93,3.19,385
121,1.3,0.55,0.42,3.17,1.02,1.93,750
122,2.03,0.24,1.46,4.6,1.19,2.48,392
123,2.27,0.26,1.22,2,0.9,2.78,325
124,5.08,0.47,1.87,6,0.93,3.69,465
125,2.65,0.37,2.08,4.6,1.19,2.3,678
126,1.75,0.42,1.35,2.6,0.79,2.57,580
127,2.25,0.25,1.99,2.15,1.15,3.3,290
128,2.27,0.32,3.28,2.6,1.16,2.63,937
129,2.01,0.42,1.44,3.08,1.1,2.31,434
130,1.75,0.45,1.03,2.95,1.45,2.23,355
131,1.5,0.52,1.64,2.4,1.08,2.27,480
132,1.36,0.29,1.35,2.45,1.04,2.77,562
133,2.03,0.37,1.63,3.4,1,3.17,510
134,2.55,0.43,1.95,2.57,1.19,3.13,463
135,2.13,0.43,1.71,2.08,0.92,3.12,365
136,2.04,0.39,2.08,2.7,0.86,3.02,312
137,1.32,0.43,0.95,2.65,,2.52,500
138,1.28,0.14,2.5,2.85,1.28,3.07,718
139,2.09,0.34,1.61,2.06,1.06,2.96,345
140,1.41,0.53,0.62,5.75,0.98,1.59,450
141,2.24,0.58,1.76,,0.97,2.44,466
142,2.21,0.22,2.35,3.05,0.79,3.08,520
143,0.99,0.14,1.56,2.5,0.95,2.26,625
144,2.26,0.17,1.35,3.25,,2.96,345
145,2.53,0.26,1.77,3.9,1.16,3.14,714
146,1.31,0.53,2.7,13,0.57,1.96,660
147,2.41,,2.67,,,,
148,1.36,0.24,1.26,10.8,0.48,1.47,480
149,4.87,,2.78,,,,
150,0.92,0.43,1.46,10.68,0.85,1.56,695
151,1.09,0.27,0.83,5.7,0.66,1.36,560
152,0.76,0.56,1.35,9.2,0.61,1.6,560
153,1.28,0.26,1.56,7.1,0.61,1.33,425
154,0.75,0.43,1.41,7.3,0.7,1.56,750
155,1.39,0.34,1.14,9.4,0.57,1.33,550
156,0.68,0.53,1.46,9.3,0.6,1.62,840
157,0.6,0.53,0.81,4.92,0.89,2.15,590
158,1.22,0.24,0.83,5.4,0.74,1.42,530
159,0.83,0.48,1.56,9.01,0.57,1.64,480
160,0.8,0.47,1.02,4.4,0.91,2.05,550
161,0.68,0.41,1.03,9.58,0.7,1.68,615
162,,1.01,1.43,,,,639
163,0.69,0.43,1.35,10.2,0.59,1.56,835
164,0.55,0.43,1.3,4,0.6,1.68,830
165,,1.07,,,,,606
166,,,1.57,,,3.28,
167,0.58,0.6,1.25,5.45,0.75,1.51,650
168,0.48,0.58,0.88,5.7,0.81,1.82,580
169,0.49,0.4,0.73,5.5,0.66,1.83,510
170,0.78,0.29,1.14,8.21,0.65,2,855
171,1.25,0.21,0.94,4.1,0.76,1.29,630
172,0.52,0.5,0.55,4.35,0.89,2.06,520
173,0.92,0.5,1.04,7.65,0.56,1.58,520
174,0.61,0.52,1.06,7.7,0.64,1.74,740
175,0.56,0.5,0.8,5.88,0.96,1.82,680
176,0.34,0.4,0.68,4.9,0.58,1.33,415
177,1.1,0.52,2.29,11.75,0.57,1.78,620
178,,1.74,,4.63,,,
179,0.6,0.63,1.1,5,0.82,1.69,515
180,0.66,0.4,0.97,10.26,0.72,1.75,685
181,0.83,0.61,1.87,10.52,0.56,1.51,675
182,0.47,0.53,0.8,3.85,0.75,1.27,720
183,0.5,0.37,0.64,5.6,0.7,2.47,780
184,0.66,0.63,0.94,7.1,0.73,1.58,695
185,0.7,0.44,1.24,9.7,0.62,1.71,660
186,0.47,0.52,1.15,6.62,0.78,1.75,520
187,0.7,0.4,0.94,5.28,0.68,1.75,675
188,1.57,0.22,1.25,8.6,0.59,1.3,500
189,,0.6,0.96,5.58,0.87,2.11,570
190,0.76,0.45,1.25,8.42,0.55,1.62,650
191,0.5,0.53,0.75,4.6,0.77,2.31,600
192,1.2,0.17,0.84,5,0.78,1.29,600
193,0.51,0.48,0.64,9.899999,0.57,1.63,470
194,0.96,0.27,1.11,8.5,0.67,1.92,630
195,0.63,0.61,1.55,7.9,0.6,1.48,725
196,0.58,0.53,1.4,7.6,0.58,1.55,640
197,4.84,,,11.59,,,
198,0.65,0.47,0.86,7.65,0.54,1.86,625
199,0.58,0.63,1.14,7.5,0.67,1.73,880
200,0.84,0.39,1.54,8.66,0.74,1.8,750
